Word/Span,False positives
pdf,4
click,3
chat,3
κλικ,3
οθόνη,3
reset,3
format,2
tweet,2
tag,2
puntu,2
σωλήνα,2
burua,2
interface,2
picture,2
superficie,2
element,2
vehículu,2
portable,2
log,2
desberdinak,2
estatu,2
document,2
udalerria,2
estructures,2
medicina,2
izen,2
gui,2
app,2
api,2
dixital,2
persones,2
ez,2
zen,2
zakhodni buh,1
narew,1
zakhidnyy buh,1
el fuego,1
shewhart,1
haka,1
shewart,1
bateriajolea,1
maoria,1
graphical,1
bug,1
llubricante,1
pdca,1
act,1
check,1
gidoiekin,1
uzkurtutako,1
